square_1,squares and square roots,\(1^2\) = {{c1::\(1\)}}
square_2,squares and square roots,\(2^2\) = {{c1::\(4\)}}
square_3,squares and square roots,\(3^2\) = {{c1::\(9\)}}
square_4,squares and square roots,\(4^2\) = {{c1::\(16\)}}
square_5,squares and square roots,\(5^2\) = {{c1::\(25\)}}
square_6,squares and square roots,\(6^2\) = {{c1::\(36\)}}
square_7,squares and square roots,\(7^2\) = {{c1::\(49\)}}
square_8,squares and square roots,\(8^2\) = {{c1::\(64\)}}
square_9,squares and square roots,\(9^2\) = {{c1::\(81\)}}
square_10,squares and square roots,\(10^2\) = {{c1::\(100\)}}
square_11,squares and square roots,\(11^2\) = {{c1::\(121\)}}
square_12,squares and square roots,\(12^2\) = {{c1::\(144\)}}
square_13,squares and square roots,\(13^2\) = {{c1::\(169\)}}
square_14,squares and square roots,\(14^2\) = {{c1::\(196\)}}
square_15,squares and square roots,\(15^2\) = {{c1::\(225\)}}
square_16,squares and square roots,\(16^2\) = {{c1::\(256\)}}
square_17,squares and square roots,\(17^2\) = {{c1::\(289\)}}
square_18,squares and square roots,\(18^2\) = {{c1::\(324\)}}
square_19,squares and square roots,\(19^2\) = {{c1::\(361\)}}
square_20,squares and square roots,\(20^2\) = {{c1::\(400\)}}
sqrt_1,squares and square roots,\(sqrt(1)\) = {{c1::\(1\)}}
sqrt_2,squares and square roots,\(sqrt(4)\) = {{c1::\(2\)}}
sqrt_3,squares and square roots,\(sqrt(9)\) = {{c1::\(3\)}}
sqrt_4,squares and square roots,\(sqrt(16)\) = {{c1::\(4\)}}
sqrt_5,squares and square roots,\(sqrt(25)\) = {{c1::\(5\)}}
sqrt_6,squares and square roots,\(sqrt(36)\) = {{c1::\(6\)}}
sqrt_7,squares and square roots,\(sqrt(49)\) = {{c1::\(7\)}}
sqrt_8,squares and square roots,\(sqrt(64)\) = {{c1::\(8\)}}
sqrt_9,squares and square roots,\(sqrt(81)\) = {{c1::\(9\)}}
sqrt_10,squares and square roots,\(sqrt(100)\) = {{c1::\(10\)}}
sqrt_11,squares and square roots,\(sqrt(121)\) = {{c1::\(11\)}}
sqrt_12,squares and square roots,\(sqrt(144)\) = {{c1::\(12\)}}
sqrt_13,squares and square roots,\(sqrt(169)\) = {{c1::\(13\)}}
sqrt_14,squares and square roots,\(sqrt(196)\) = {{c1::\(14\)}}
sqrt_15,squares and square roots,\(sqrt(225)\) = {{c1::\(15\)}}
sqrt_16,squares and square roots,\(sqrt(256)\) = {{c1::\(16\)}}
sqrt_17,squares and square roots,\(sqrt(289)\) = {{c1::\(17\)}}
sqrt_18,squares and square roots,\(sqrt(324)\) = {{c1::\(18\)}}
sqrt_19,squares and square roots,\(sqrt(361)\) = {{c1::\(19\)}}
sqrt_20,squares and square roots,\(sqrt(400)\) = {{c1::\(20\)}}