cos_rad_01,cos and sin values of radians,\(\cos(0)={{c1::1 }}\)
cos_rad_02,cos and sin values of radians,\(\cos(\frac{\pi}{6})={{c1::\frac{\sqrt3}{2} }}\)
cos_rad_03,cos and sin values of radians,\(\cos(\frac{\pi}{4})={{c1::\frac{\sqrt2}{2} }}\)
cos_rad_04,cos and sin values of radians,\(\cos(\frac{\pi}{3})={{c1::\frac{1}{2} }}\)
cos_rad_05,cos and sin values of radians,\(\cos(\frac{\pi}{2})={{c1::0 }}\)
cos_rad_06,cos and sin values of radians,\(\cos(\frac{2\pi}{3})={{c1::-\frac{1}{2} }}\)
cos_rad_07,cos and sin values of radians,\(\cos(\frac{3\pi}{4})={{c1::-\frac{\sqrt2}{2} }}\)
cos_rad_08,cos and sin values of radians,\(\cos(\frac{5\pi}{6})={{c1::-\frac{\sqrt3}{2} }}\)
cos_rad_09,cos and sin values of radians,\(\cos(\pi)={{c1::-1 }}\)
cos_rad_10,cos and sin values of radians,\(\cos(\frac{7\pi}{6})={{c1::-\frac{\sqrt3}{2} }}\)
cos_rad_11,cos and sin values of radians,\(\cos(\frac{5\pi}{4})={{c1::\frac{\sqrt2}{2} }}\)
cos_rad_12,cos and sin values of radians,\(\cos(\frac{4\pi}{3})={{c1::-\frac{1}{2} }}\)
cos_rad_13,cos and sin values of radians,\(\cos(\frac{3\pi}{2})={{c1::0 }}\)
cos_rad_14,cos and sin values of radians,\(\cos(\frac{5\pi}{3})={{c1::\frac{1}{2} }}\)
cos_rad_15,cos and sin values of radians,\(\cos(\frac{7\pi}{4})={{c1::\frac{\sqrt2}{2} }}\)
cos_rad_16,cos and sin values of radians,\(\cos(\frac{11\pi}{6})={{c1::\frac{\sqrt3}{2} }}\)
cos_rad_17,cos and sin values of radians,\(\cos(2\pi)={{c1::1 }}\)
sin_rad_01,cos and sin values of radians,\(\sin(0)={{c1::0 }}\)
sin_rad_02,cos and sin values of radians,\(\sin(\frac{\pi}{6})={{c1::\frac{1}{2} }}\)
sin_rad_03,cos and sin values of radians,\(\sin(\frac{\pi}{4})={{c1::\frac{\sqrt2}{2} }}\)
sin_rad_04,cos and sin values of radians,\(\sin(\frac{\pi}{3})={{c1::\frac{\sqrt3}{2} }}\)
sin_rad_05,cos and sin values of radians,\(\sin(\frac{\pi}{2})={{c1::1 }}\)
sin_rad_06,cos and sin values of radians,\(\sin(\frac{2\pi}{3})={{c1::\frac{\sqrt3}{2} }}\)
sin_rad_07,cos and sin values of radians,\(\sin(\frac{3\pi}{4})={{c1::\frac{\sqrt2}{2} }}\)
sin_rad_08,cos and sin values of radians,\(\sin(\frac{5\pi}{6})={{c1::\frac{1}{2} }}\)
sin_rad_09,cos and sin values of radians,\(\sin(\pi)={{c1::0 }}\)
sin_rad_10,cos and sin values of radians,\(\sin(\frac{7\pi}{6})={{c1::-\frac{1}{2} }}\)
sin_rad_11,cos and sin values of radians,\(\sin(\frac{5\pi}{4})={{c1::-\frac{\sqrt2}{2} }}\)
sin_rad_12,cos and sin values of radians,\(\sin(\frac{4\pi}{3})={{c1::-\frac{\sqrt3}{2} }}\)
sin_rad_13,cos and sin values of radians,\(\sin(\frac{3\pi}{2})={{c1::-1 }}\)
sin_rad_14,cos and sin values of radians,\(\sin(\frac{5\pi}{3})={{c1::-\frac{\sqrt3}{2} }}\)
sin_rad_15,cos and sin values of radians,\(\sin(\frac{7\pi}{4})={{c1::-\frac{\sqrt2}{2} }}\)
sin_rad_16,cos and sin values of radians,\(\sin(\frac{11\pi}{6})={{c1::-\frac{1}{2} }}\)
sin_rad_17,cos and sin values of radians,\(\sin(2\pi)={{c1::0 }}\)